year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2002, 1, 1, 2.1, -1.8, -5.0, 55.1, 4.4, 8.6, 0.5, 0.0, 3.3
2002, 1, 2, -4.1, -6.8, -9.0, 40.3, 7.0, 8.6, 0.0, 0.0, 0.0
2002, 1, 3, 1.0, -4.1, -10.6, 58.5, 3.5, 8.0, 0.0, 0.0, 2.1
2002, 1, 4, 8.7, 5.3, -0.7, 62.0, 4.4, 5.2, 0.0, 0.0, 5.1
2002, 1, 5, 5.5, 0.7, -4.7, 37.8, 4.3, 8.6, 0.0, 0.0, 0.3
2002, 1, 6, 4.5, -2.7, -9.6, 58.8, 1.2, 8.6, 0.0, 0.0, 1.5
2002, 1, 7, 2.6, -2.9, -5.0, 75.5, 4.1, 2.1, 5.0, 7.5, 8.5
2002, 1, 8, -2.5, -4.9, -7.1, 65.4, 6.5, 7.1, 0.0, 0.1, 3.4
2002, 1, 9, 2.4, -3.0, -6.3, 60.4, 3.7, 8.7, 0.0, 0.0, 0.9
2002, 1, 10, 7.1, -1.2, -9.5, 71.3, 0.9, 6.2, 0.0, 0.0, 4.3
2002, 1, 11, 11.0, 6.5, 2.6, 55.0, 3.4, 7.3, 0.0, 0.0, 0.8
2002, 1, 12, 10.7, 3.9, -3.8, 66.0, 1.2, 7.0, 0.0, 0.0, 3.4
2002, 1, 13, 11.9, 6.0, 1.4, 76.4, 1.5, 2.8, 0.0, 0.0, 8.1
2002, 1, 14, 11.8, 8.2, 5.5, 87.4, 1.4, 0.6, 0.0, 0.0, 8.9
2002, 1, 15, 10.5, 8.5, 5.8, 95.9, 0.9, 0.0, 33.0, 0.0, 10.0
2002, 1, 16, 9.7, 5.9, 2.7, 95.1, 2.1, 0.0, 20.5, 0.0, 10.0
2002, 1, 17, 4.9, 2.0, -0.7, 92.4, 0.9, 0.1, 3.5, 0.0, 8.9
2002, 1, 18, 4.8, 0.6, -2.3, 92.6, 0.8, 3.2, 0.0, 0.0, 7.4
2002, 1, 19, 9.5, 3.3, -0.3, 83.4, 1.1, 2.6, 0.0, 0.0, 5.8
2002, 1, 20, 6.6, 2.1, -2.0, 85.8, 1.5, 0.4, 0.3, 0.0, 8.1
2002, 1, 21, 6.1, 1.1, -1.7, 70.4, 3.8, 7.5, 0.0, 0.0, 5.3
2002, 1, 22, 0.0, -2.2, -3.3, 60.0, 5.4, 3.8, 0.0, 0.0, 5.8
2002, 1, 23, 0.5, -2.6, -4.4, 61.1, 4.7, 6.0, 0.0, 0.0, 4.0
