year, month, day, tmax, tavg, tmin, humid, wind, sunshine, rainfall, snow, cloud
2000, 1, 1, 10.6, 7.0, 3.4, 80.4, 1.0, 0.0, 5.3, 0.0, 7.5
2000, 1, 2, 13.7, 8.3, 4.2, 70.0, 1.5, 4.8, 0.1, 0.0, 5.3
2000, 1, 3, 9.9, 4.4, 0.7, 37.4, 1.3, 8.9, 0.0, 0.0, 1.5
2000, 1, 4, 10.5, 4.6, -0.7, 39.6, 0.5, 7.3, 0.0, 0.0, 1.4
2000, 1, 5, 12.9, 7.8, 2.3, 73.6, 0.6, 2.6, 1.4, 0.0, 8.4
2000, 1, 6, 16.7, 9.7, 5.4, 72.3, 1.8, 3.8, 0.5, 0.0, 8.0
2000, 1, 7, 5.4, 0.2, -3.1, 43.9, 2.2, 9.0, 0.0, 0.0, 0.6
2000, 1, 8, 6.8, 1.1, -3.6, 51.0, 1.0, 8.8, 0.0, 0.0, 1.1
2000, 1, 9, 4.4, 1.8, -0.1, 65.6, 0.7, 0.0, 1.6, 0.0, 9.5
2000, 1, 10, 8.7, 4.1, 1.0, 52.3, 1.7, 9.0, 0.0, 0.0, 1.8
2000, 1, 11, 8.6, 4.8, -1.0, 61.0, 1.7, 1.4, 0.5, 0.0, 6.5
2000, 1, 12, 8.8, 7.9, 6.4, 86.3, 1.1, 0.0, 7.5, 0.0, 10.0
2000, 1, 13, 10.8, 6.9, 1.4, 70.1, 1.1, 5.5, 0.5, 0.0, 5.0
2000, 1, 14, 8.6, 2.6, -0.6, 58.6, 0.7, 5.0, 0.0, 0.0, 2.9
2000, 1, 15, 9.2, 3.5, -1.5, 65.3, 1.5, 5.7, 0.0, 0.0, 3.6
2000, 1, 16, 10.0, 5.8, 2.6, 69.4, 1.3, 0.6, 0.0, 0.0, 6.4
2000, 1, 17, 7.2, 4.4, 0.7, 76.6, 2.7, 0.0, 0.8, 0.0, 6.8
2000, 1, 18, 10.1, 4.7, 0.7, 51.3, 2.5, 7.8, 0.0, 0.0, 2.4
2000, 1, 19, 5.4, 0.3, -3.3, 45.1, 3.3, 5.6, 0.0, 0.0, 2.1
2000, 1, 20, -0.7, -3.6, -5.7, 31.0, 4.4, 9.3, 0.0, 0.0, 0.0
2000, 1, 21, 2.6, -2.7, -7.8, 29.3, 2.3, 9.5, 0.0, 0.0, 1.3
2000, 1, 22, 6.8, 1.7, -4.6, 52.9, 0.7, 0.3, 0.5, 0.0, 8.8
2000, 1, 23, 12.6, 6.0, 2.5, 82.3, 1.6, 5.3, 5.3, 0.0, 6.3
2000, 1, 24, 8.9, 5.1, 2.6, 47.5, 2.4, 7.9, 0.0, 0.0, 6.8
2000, 1, 25, 5.3, 1.0, -2.8, 36.4, 3.3, 6.8, 0.0, 0.0, 4.1
2000, 1, 26, 0.9, -3.2, -6.5, 33.1, 4.7, 9.6, 0.0, 0.0, 0.0
2000, 1, 27, 4.4, -1.4, -6.4, 37.4, 2.4, 8.7, 0.0, 0.0, 0.6
2000, 1, 28, 9.3, 1.1, -5.7, 38.3, 1.3, 9.5, 0.0, 0.0, 0.8
2000, 1, 29, 9.3, 2.5, -4.2, 40.5, 1.8, 7.5, 0.0, 0.0, 3.4
2000, 1, 30, 6.2, 1.4, -2.9, 43.0, 3.3, 8.0, 0.0, 0.0, 0.9
2000, 1, 31, 1.5, -2.5, -5.6, 32.4, 3.2, 9.7, 0.0, 0.0, 0.0
2000, 2, 1, 6.0, -0.5, -6.1, 27.1, 2.1, 6.4, 0.0, 0.0, 4.6
2000, 2, 2, 6.1, 0.7, -3.3, 33.4, 4.1, 8.7, 0.0, 0.0, 3.9
2000, 2, 3, 6.9, 1.4, -2.4, 40.0, 3.1, 5.4, 0.0, 0.0, 3.0
2000, 2, 4, 8.4, 2.1, -2.7, 50.5, 1.9, 9.1, 0.0, 0.0, 0.0
2000, 2, 5, 11.3, 5.3, -2.1, 65.5, 1.1, 5.7, 0.1, 0.0, 5.5
2000, 2, 6, 8.6, 5.5, 2.6, 51.5, 3.6, 8.6, 0.0, 0.0, 4.3
2000, 2, 7, 8.2, 3.2, 0.1, 49.3, 2.5, 5.3, 0.0, 0.0, 6.3
2000, 2, 8, 2.0, -2.1, -4.9, 30.4, 5.8, 8.8, 0.0, 0.0, 2.0
2000, 2, 9, 6.5, -0.2, -6.1, 29.3, 3.6, 10.0, 0.0, 0.0, 0.5
2000, 2, 10, 9.2, 2.7, -4.0, 26.4, 2.3, 10.0, 0.0, 0.0, 0.8
2000, 2, 11, 10.5, 4.6, -0.3, 43.8, 2.4, 9.4, 0.0, 0.0, 1.1
2000, 2, 12, 12.7, 6.0, -0.5, 36.1, 2.2, 9.8, 0.0, 0.0, 1.4
2000, 2, 13, 13.1, 6.8, 1.5, 52.8, 1.8, 8.6, 0.0, 0.0, 3.3
2000, 2, 14, 12.4, 5.6, -0.1, 40.4, 2.8, 6.0, 0.0, 0.0, 4.1
2000, 2, 15, 2.4, -1.1, -3.3, 25.0, 4.5, 10.0, 0.0, 0.0, 0.0
2000, 2, 16, 3.9, -0.8, -4.9, 30.5, 3.2, 10.1, 0.0, 0.0, 0.1
2000, 2, 17, 5.4, 0.4, -3.5, 23.9, 3.6, 10.2, 0.0, 0.0, 0.0
2000, 2, 18, 7.7, 2.1, -3.2, 30.1, 2.6, 9.3, 0.0, 0.0, 3.6
2000, 2, 19, 10.0, 5.3, 0.7, 47.0, 1.0, 1.4, 0.0, 0.0, 9.1
2000, 2, 20, 10.8, 5.6, 2.3, 24.0, 2.9, 9.3, 0.0, 0.0, 3.9
2000, 2, 21, 7.2, 2.4, -2.8, 24.4, 4.1, 8.6, 0.0, 0.0, 0.0
2000, 2, 22, 7.5, 2.1, -2.1, 26.3, 2.1, 4.9, 0.0, 0.0, 5.3
2000, 2, 23, 11.1, 5.1, -1.6, 28.1, 1.4, 6.3, 0.0, 0.0, 4.9
